school_id,school_name,avg_sat,avg_act,graduation_rate,acceptance_rate,student_faculty_ratio,tuition_cost,avg_aid,student_population,international_percentage,latitude,longitude,type,urban_rural,ranking
SCH053,School_53,913,30,83,32,16.8,11368,11530,4861,37,35.258774,-96.155028,Public,Urban,443
SCH054,School_54,1141,18,77,72,12.2,32424,7010,2485,30,42.720658,-101.295051,Private,Rural,319
SCH055,School_55,1245,25,80,24,6.8,23333,11207,1292,35,40.27869,-66.362945,Charter,Urban,77
SCH056,School_56,1464,31,57,34,23.3,28116,23501,4759,18,39.523214,-73.061429,Public,Urban,174
SCH057,School_57,1239,33,88,26,7.7,48201,27465,594,47,32.809374,-88.219048,Charter,Suburban,387
SCH058,School_58,991,31,75,75,24.0,20525,25537,1633,44,45.036189,-91.406736,Charter,Urban,458
SCH059,School_59,1266,29,83,87,13.9,28398,2989,737,35,35.782179,-88.381032,Public,Urban,358
SCH060,School_60,1354,32,52,62,8.7,37857,12040,3446,29,48.477623,-113.122586,Public,Rural,321
SCH061,School_61,1327,19,99,60,15.8,15361,9218,3030,48,39.853553,-101.686873,Charter,Urban,376
SCH062,School_62,1408,19,61,48,22.5,21369,22612,2460,32,27.156619,-122.671888,Charter,Rural,91
SCH063,School_63,934,34,50,60,19.6,8041,28441,1548,17,40.904439,-96.942784,Charter,Urban,238
SCH064,School_64,1105,27,93,79,21.1,5105,6471,3029,48,32.1276,-92.96155,Charter,Urban,264
SCH065,School_65,980,23,54,15,18.2,14078,2863,3464,27,41.15818,-111.562766,Public,Rural,179
SCH066,School_66,1461,32,79,76,18.8,30003,10693,1463,46,25.741029,-68.122298,Public,Suburban,494
SCH067,School_67,1287,28,79,16,22.0,11090,26523,1036,10,28.372036,-71.342178,Charter,Rural,490
SCH068,School_68,901,22,66,60,10.0,43850,1177,4723,44,45.393431,-82.393549,Private,Rural,209
SCH069,School_69,1289,18,97,81,14.8,6925,4760,4179,32,29.679489,-93.530189,Private,Rural,73
SCH070,School_70,1465,25,96,51,9.4,23440,11,4687,16,44.926028,-73.67182,Public,Suburban,390
SCH071,School_71,1005,29,72,73,24.8,44685,21636,4224,5,30.981902,-117.291512,Charter,Urban,107
SCH072,School_72,1376,29,64,24,23.9,31015,16353,1042,3,40.072048,-78.359922,Charter,Rural,345
SCH073,School_73,1301,22,86,38,5.8,38320,20783,1345,19,41.353764,-117.635572,Public,Rural,295
SCH074,School_74,1455,24,70,42,19.1,30291,11556,4103,47,36.816369,-78.141571,Private,Suburban,369
SCH075,School_75,1061,21,63,36,23.5,41679,27598,3536,46,31.632767,-108.729713,Private,Rural,444
SCH076,School_76,1101,23,51,45,8.6,31289,11563,2994,26,29.316109,-73.251656,Private,Urban,284
SCH077,School_77,1169,30,60,38,16.4,8389,14051,4985,14,24.829734,-69.301516,Public,Suburban,353
SCH078,School_78,1170,32,88,47,23.3,30683,11022,3219,5,31.59866,-116.221038,Private,Urban,182
SCH079,School_79,1355,20,87,66,5.7,18629,8234,2384,46,40.32907,-97.702139,Public,Urban,37
SCH080,School_80,1361,25,83,36,18.9,29826,25519,4638,13,47.45762,-67.121745,Public,Suburban,137
SCH081,School_81,1151,33,87,64,10.9,40198,26966,4849,10,45.780112,-96.478961,Charter,Rural,338
SCH082,School_82,1195,30,99,42,23.5,31630,21829,3701,38,43.151619,-74.050696,Private,Urban,56
SCH083,School_83,1237,35,83,77,24.4,38226,16173,3210,8,43.711184,-90.26484,Public,Urban,187
SCH084,School_84,952,27,67,75,23.9,37975,27121,2453,25,40.624623,-102.855535,Private,Urban,341
SCH085,School_85,1116,34,79,19,14.5,5899,26987,4350,15,30.507171,-108.13877,Private,Urban,258
SCH086,School_86,1087,22,64,14,22.2,16653,13178,1189,4,46.679876,-113.009838,Charter,Suburban,445
SCH087,School_87,1279,26,76,83,21.9,32961,6570,2450,9,40.768308,-80.053907,Private,Suburban,58
SCH088,School_88,1392,29,83,47,11.4,21405,25580,956,49,38.011016,-102.19411,Charter,Urban,363
SCH089,School_89,940,18,87,22,21.6,13601,24596,2630,2,26.774737,-94.834748,Public,Rural,123
SCH090,School_90,1056,18,82,40,5.7,38662,406,4476,12,35.176389,-95.952797,Private,Urban,188
SCH091,School_91,914,32,73,56,16.9,38282,9206,4744,42,35.508957,-90.940537,Public,Rural,230
SCH092,School_92,964,19,64,61,9.6,26288,4431,1679,48,45.61409,-73.930948,Private,Urban,168
SCH093,School_93,1420,33,79,65,7.4,34545,26414,4785,29,37.666206,-67.136379,Public,Rural,420
SCH094,School_94,1243,25,91,24,6.5,41877,27764,4065,44,33.510014,-100.952532,Private,Urban,114
SCH095,School_95,1028,30,66,38,18.9,20313,21627,1382,5,48.420008,-76.176384,Private,Rural,252
SCH096,School_96,1547,18,54,17,11.8,20349,6542,899,16,26.768015,-79.89286,Private,Urban,107
SCH097,School_97,1371,33,78,14,19.5,12179,23320,1108,44,34.563711,-91.161792,Private,Urban,37
SCH098,School_98,962,24,53,38,6.3,15326,8906,2138,18,25.050617,-68.593219,Private,Rural,335
SCH099,School_99,1038,22,59,56,11.3,49555,4146,2648,41,42.497603,-113.172004,Private,Suburban,92
SCH100,School_100,1398,20,66,77,15.8,6560,12046,1882,34,46.951914,-118.553412,Private,Rural,18
SCH101,School_101,1492,29,59,85,20.8,18612,12611,1903,45,31.000933,-74.616244,Private,Suburban,354
SCH102,School_102,1291,33,66,54,11.4,22650,13076,1319,25,45.458542,-99.090161,Private,Urban,63
SCH103,School_103,1574,22,69,11,17.5,31745,16524,3792,4,31.305456,-75.028838,Public,Rural,150
SCH104,School_104,1318,31,73,36,22.7,36890,29141,1319,28,46.769254,-72.307678,Charter,Rural,139
SCH105,School_105,1188,22,54,45,17.3,25022,4882,919,36,42.849048,-121.315002,Private,Rural,186
SCH106,School_106,1278,32,83,45,9.7,9780,14113,4719,19,44.122669,-72.875579,Charter,Suburban,185
SCH107,School_107,1389,34,55,35,5.5,23311,13645,3802,48,24.450164,-98.549176,Private,Suburban,205
SCH108,School_108,1130,31,51,52,22.4,33380,6012,2008,20,48.070259,-94.884483,Private,Urban,260
SCH109,School_109,940,22,62,36,5.4,49662,17347,1267,9,42.166775,-88.031042,Public,Suburban,214
SCH110,School_110,927,29,92,78,22.5,7356,7151,2544,4,31.618777,-70.343426,Public,Suburban,256
SCH111,School_111,1034,33,92,29,15.6,9790,24948,2639,35,44.734867,-123.87215,Charter,Urban,135
SCH112,School_112,1100,33,97,20,23.8,31911,28211,3529,5,31.03803,-96.866235,Public,Rural,61
SCH113,School_113,932,24,60,83,21.0,29363,27117,2049,25,45.818846,-84.424399,Public,Rural,363
SCH114,School_114,947,21,96,47,25.0,25049,3610,2264,3,26.81451,-82.360289,Charter,Urban,310
SCH115,School_115,1402,18,72,15,12.0,15181,9884,3145,38,41.592149,-84.140587,Public,Rural,88
SCH116,School_116,1306,22,65,81,20.3,44825,6894,4216,38,37.517462,-117.068327,Private,Suburban,324
SCH117,School_117,1473,27,80,32,13.0,21082,13467,4981,49,26.413362,-107.33566,Charter,Urban,476
SCH118,School_118,998,22,60,56,14.6,5661,23695,2793,34,30.047346,-103.835784,Charter,Urban,207
SCH119,School_119,1583,21,65,55,17.6,42412,16489,3208,0,24.310101,-77.538205,Private,Urban,129
SCH120,School_120,1446,19,57,21,22.5,7920,21923,1400,23,35.719199,-108.553168,Public,Rural,311
SCH121,School_121,1512,27,53,22,24.7,30658,9873,3584,35,31.531632,-112.568407,Charter,Urban,3
SCH122,School_122,1361,18,89,71,20.4,19025,12289,2509,5,38.958937,-68.510567,Charter,Urban,462
SCH123,School_123,1542,22,53,69,13.4,13946,12208,741,40,31.430945,-124.477066,Private,Urban,422
SCH124,School_124,904,30,74,52,13.4,33706,10828,2885,45,31.497978,-66.12857,Private,Rural,242
SCH125,School_125,1117,21,52,85,19.8,44004,23171,4768,43,42.57983,-85.067543,Public,Suburban,121
SCH126,School_126,1402,33,81,77,9.8,21309,2137,1171,30,25.203571,-76.120311,Charter,Urban,385
SCH127,School_127,1297,33,52,14,7.2,38120,27992,663,19,46.572375,-107.617456,Public,Suburban,102
SCH128,School_128,1292,19,76,46,12.1,35027,20829,964,23,45.306597,-124.155399,Public,Rural,38
SCH129,School_129,1106,34,78,81,10.7,12005,19914,3542,24,40.695117,-81.465698,Private,Rural,341
SCH130,School_130,914,29,81,40,10.9,5956,1286,2942,35,38.830539,-75.785469,Charter,Rural,496
SCH131,School_131,1453,35,99,18,9.7,39839,15710,2855,20,46.307562,-81.311908,Charter,Rural,413
SCH132,School_132,1360,20,68,60,5.8,13595,11371,4778,29,28.633254,-116.571833,Charter,Suburban,133
SCH133,School_133,1590,18,70,38,5.4,17803,15945,3057,23,25.974229,-80.547753,Private,Urban,497
SCH134,School_134,1474,18,54,87,24.8,30963,29734,1045,43,29.987754,-79.633556,Private,Rural,202
SCH135,School_135,1140,28,67,49,13.6,41221,7052,4335,41,43.864457,-86.14611,Private,Rural,348
SCH136,School_136,1463,22,77,50,12.7,44443,3654,1093,29,24.866757,-79.79916,Private,Suburban,21
SCH137,School_137,995,29,91,20,18.6,38723,23486,4304,21,38.570171,-75.090635,Private,Suburban,242
SCH138,School_138,1384,20,71,32,9.4,44063,18743,1959,27,48.885938,-88.797357,Charter,Rural,455
SCH139,School_139,1306,18,70,10,24.0,20282,15600,3993,6,45.392402,-119.772322,Public,Urban,451
SCH140,School_140,1130,18,55,55,20.7,9703,24489,3101,34,37.036142,-96.229959,Charter,Urban,109
SCH141,School_141,1554,25,50,30,6.8,11563,8636,2944,27,25.591023,-120.418689,Public,Rural,303
SCH142,School_142,1070,27,54,45,13.4,30849,6441,3172,13,44.784338,-100.954961,Private,Suburban,84
SCH143,School_143,1440,28,90,63,22.6,36860,21431,4700,9,38.974463,-100.980717,Public,Rural,83
SCH144,School_144,935,29,61,66,23.9,36585,24611,516,15,26.873325,-121.105419,Charter,Rural,291
SCH145,School_145,1424,30,75,10,14.3,27015,21587,3691,15,26.346432,-104.419588,Charter,Suburban,452
SCH146,School_146,1059,29,95,72,17.3,17003,9667,892,30,46.74067,-118.451112,Public,Rural,69
SCH147,School_147,1598,31,83,63,8.3,48585,12149,924,41,40.730007,-77.314123,Private,Rural,129
SCH148,School_148,1142,19,98,64,24.8,31958,1798,1071,24,44.73217,-69.086406,Private,Rural,196
SCH149,School_149,985,35,63,49,9.6,31017,26421,4131,12,45.974473,-120.733328,Charter,Suburban,140
SCH150,School_150,1477,20,75,24,23.9,16171,9600,1620,5,38.294309,-68.648203,Public,Urban,444
SCH151,School_151,1581,34,94,30,18.0,17201,21675,741,43,36.936159,-94.167981,Private,Urban,283
SCH152,School_152,1456,25,76,56,17.2,34426,5495,4397,8,34.760685,-107.325625,Private,Suburban,312
SCH153,School_153,1473,27,58,82,15.3,22778,9900,4595,44,31.923665,-120.465138,Charter,Urban,234
SCH154,School_154,1545,19,75,62,9.6,47229,13673,2779,35,34.864899,-95.463168,Private,Rural,23
SCH155,School_155,927,26,96,18,8.5,26116,11130,1288,42,43.346991,-78.123583,Public,Urban,153
SCH156,School_156,1519,24,71,83,9.4,38297,22668,1214,19,39.048086,-83.281898,Charter,Rural,277
SCH157,School_157,1455,21,96,61,8.7,24342,15222,3349,17,46.313082,-122.036665,Charter,Urban,61
SCH158,School_158,1239,35,79,66,20.6,32490,23669,1275,42,35.0845,-120.698792,Public,Suburban,319
SCH159,School_159,1230,30,92,35,12.0,24975,1300,4526,20,39.177239,-101.230476,Charter,Urban,378
SCH160,School_160,1539,28,97,50,6.2,31723,23253,2747,3,39.782689,-107.577861,Private,Urban,52
SCH161,School_161,1405,21,66,44,24.4,28279,9435,578,49,38.792429,-111.289325,Private,Urban,344
SCH162,School_162,1247,21,75,72,22.7,17765,28552,4426,32,41.565844,-108.420735,Public,Suburban,153
SCH163,School_163,1372,27,85,34,23.6,16561,19481,1355,26,29.935837,-77.594518,Private,Urban,237
SCH164,School_164,1130,22,50,84,24.9,46899,4616,2648,6,36.809094,-70.175545,Public,Suburban,311
SCH165,School_165,1089,26,57,47,8.5,5525,16393,1531,5,26.60562,-101.098941,Public,Rural,302
SCH166,School_166,1124,20,98,11,12.9,27861,29655,3771,14,33.612783,-71.539451,Private,Urban,32
SCH167,School_167,1284,34,84,16,20.2,38142,10617,4076,17,36.191677,-106.031754,Public,Suburban,55
SCH168,School_168,1276,20,64,43,18.9,31916,5752,4682,31,40.305606,-96.890218,Private,Suburban,352
SCH169,School_169,1182,33,96,26,8.1,49965,9852,3956,10,47.763276,-111.664289,Charter,Urban,389
SCH170,School_170,1532,21,71,52,21.3,9648,27207,4006,19,39.016277,-87.211914,Charter,Rural,36
SCH171,School_171,1527,35,63,68,9.5,40133,6295,907,23,42.589848,-67.240114,Public,Suburban,110
SCH172,School_172,1158,34,75,60,9.5,35523,21199,3211,14,36.656651,-89.393907,Private,Urban,490
SCH173,School_173,1258,24,77,63,15.7,34052,17456,3588,47,39.852601,-103.888969,Private,Rural,177
SCH174,School_174,1355,22,72,33,16.9,39414,3225,2168,6,25.773305,-86.778771,Charter,Suburban,362
SCH175,School_175,1310,29,63,34,16.6,37781,29530,647,20,30.35979,-117.74768,Charter,Suburban,314
SCH176,School_176,1548,34,73,80,6.8,9599,1316,4827,41,33.046327,-72.569114,Private,Rural,295
SCH177,School_177,1217,30,51,61,22.5,40046,22083,4397,25,35.812334,-95.318047,Public,Rural,336
SCH178,School_178,1576,20,94,79,10.3,40923,12337,2450,43,25.141219,-98.488365,Charter,Urban,97
SCH179,School_179,1124,26,75,42,7.6,46089,6807,865,13,27.500602,-90.433977,Public,Urban,369
SCH180,School_180,1133,34,63,58,22.8,8814,23058,2174,36,30.920358,-88.137752,Public,Suburban,213
SCH181,School_181,1583,34,56,38,24.1,40984,3683,4994,20,48.288317,-120.765227,Charter,Rural,317
SCH182,School_182,1563,33,52,72,22.2,31616,7227,3046,17,32.283675,-84.725584,Public,Rural,137
SCH183,School_183,1273,30,96,31,21.2,7113,3273,1062,4,36.051026,-110.726031,Public,Rural,6
SCH184,School_184,1571,34,72,35,18.1,48006,23384,4062,2,28.902443,-82.876795,Private,Suburban,499
SCH185,School_185,1507,21,95,37,16.0,18760,145,2989,22,39.269502,-76.470447,Public,Rural,109
SCH186,School_186,1371,29,92,58,6.7,26927,5010,1272,25,31.01708,-77.566448,Private,Rural,35
SCH187,School_187,1132,26,96,80,13.2,25939,16035,2537,36,29.174814,-92.402443,Charter,Suburban,39
SCH188,School_188,1591,29,94,58,12.5,37419,3040,3923,23,36.914316,-94.309976,Charter,Urban,150
SCH189,School_189,1012,26,67,29,10.2,17588,9654,3067,48,24.137645,-116.570318,Private,Urban,425
SCH190,School_190,1396,24,87,72,19.5,41142,29252,2073,18,24.191601,-79.254577,Charter,Suburban,118
SCH191,School_191,1341,31,84,70,14.9,44198,26160,4194,24,29.47672,-108.986847,Public,Rural,261
SCH192,School_192,1463,32,64,58,6.6,49738,16866,3791,20,24.918034,-95.69497,Public,Suburban,426
SCH193,School_193,1167,33,74,80,9.4,38397,19563,1746,11,26.700644,-108.227829,Public,Urban,87
SCH194,School_194,1409,22,86,10,18.7,21653,17633,4219,40,32.471516,-117.104127,Charter,Urban,465
SCH195,School_195,1285,20,77,22,6.5,15831,29344,4339,32,44.064642,-87.856096,Public,Suburban,76
SCH196,School_196,1286,29,59,60,22.0,10724,17014,859,49,38.301216,-121.79441,Charter,Suburban,471
SCH197,School_197,1012,21,88,65,14.9,16083,14996,2876,3,36.816693,-80.829931,Public,Urban,464
SCH198,School_198,1512,33,66,71,14.6,24816,16336,3509,41,31.337221,-106.262379,Private,Suburban,451
SCH199,School_199,1524,24,88,41,16.8,47240,8853,3493,6,47.293843,-124.992053,Charter,Urban,414
SCH200,School_200,980,30,71,39,21.5,11276,11695,1462,21,33.925376,-94.843381,Charter,Suburban,313
SCH201,School_201,1598,27,75,38,12.0,43663,2852,4132,32,26.177319,-122.235737,Public,Suburban,383
SCH202,School_202,1012,24,93,58,18.6,18994,16014,2327,16,39.426663,-108.705996,Charter,Suburban,214
SCH203,School_203,901,31,74,54,16.3,28499,27042,2113,23,26.84596,-83.288387,Charter,Urban,457
SCH204,School_204,1541,22,66,39,10.3,28040,987,2140,33,32.630579,-121.301312,Private,Suburban,285
SCH205,School_205,1119,20,62,25,22.6,48320,7622,2716,27,36.685298,-75.479029,Private,Urban,239
SCH206,School_206,1465,28,69,49,20.9,21959,23711,4812,42,45.855563,-124.774625,Public,Urban,165
SCH207,School_207,1124,28,74,28,18.2,11099,26122,877,40,36.338665,-110.437392,Private,Suburban,87
SCH208,School_208,1284,35,53,27,22.0,47267,25225,4714,38,41.556469,-81.286661,Public,Suburban,141
SCH209,School_209,1302,32,59,10,22.3,24576,9160,4785,21,48.820421,-106.340061,Public,Urban,160
SCH210,School_210,1537,29,52,87,19.2,40946,27213,869,48,27.287228,-118.988349,Public,Urban,46
SCH211,School_211,1029,26,90,56,21.7,11116,17484,2696,16,30.868288,-103.746199,Charter,Rural,372
SCH212,School_212,952,27,94,75,18.9,20563,6652,4247,33,33.864402,-109.046796,Private,Urban,495
SCH213,School_213,1583,29,67,47,18.6,31788,25016,1151,5,34.545704,-75.279998,Public,Rural,112
SCH214,School_214,1571,34,96,60,17.4,31928,7421,1269,45,34.275527,-106.512473,Private,Rural,407
SCH215,School_215,1315,23,85,72,20.1,41336,21400,2921,5,46.690275,-78.452984,Public,Rural,45
SCH216,School_216,1146,24,96,13,8.2,14847,769,1280,33,41.850816,-72.379543,Private,Suburban,401
SCH217,School_217,1338,31,71,10,22.6,31155,17727,2216,0,39.19763,-99.404772,Private,Suburban,247
SCH218,School_218,1102,30,83,17,22.4,19135,14114,4483,9,31.734318,-71.313355,Public,Urban,104
SCH219,School_219,1083,25,96,38,5.6,22774,4358,1811,20,44.59476,-102.738235,Charter,Rural,85
SCH220,School_220,1022,27,57,64,21.5,6742,28305,3859,4,47.876513,-68.119373,Private,Suburban,450
SCH221,School_221,1300,26,89,12,7.6,23309,28482,1022,1,44.529957,-119.731918,Charter,Suburban,485
SCH222,School_222,1193,35,98,41,11.7,5619,26153,1021,21,24.039128,-84.465863,Charter,Suburban,134
SCH223,School_223,1179,19,93,19,19.9,22658,23164,2820,47,39.910034,-95.864972,Public,Suburban,108
SCH224,School_224,1509,22,68,83,8.2,39707,28584,1435,1,25.278385,-102.12872,Public,Suburban,18
SCH225,School_225,1097,22,91,43,21.4,25337,22986,2730,9,30.440181,-87.669999,Public,Rural,94
SCH226,School_226,1410,23,90,64,21.6,21001,29670,4540,33,25.488118,-83.472432,Private,Rural,150
SCH227,School_227,1043,25,86,41,15.1,5968,11543,4197,15,39.094886,-124.742567,Public,Rural,246
SCH228,School_228,1508,33,55,59,5.1,30892,29371,3337,47,41.164748,-115.149768,Public,Rural,289
SCH229,School_229,1100,30,75,16,10.7,30619,18733,4583,38,26.862191,-82.930283,Private,Urban,414
SCH230,School_230,1023,18,83,17,17.3,5281,28178,2961,21,33.595972,-85.683261,Private,Rural,209
SCH231,School_231,1086,34,94,74,24.6,32420,5699,3743,11,35.405913,-68.003197,Public,Suburban,126
SCH232,School_232,1225,24,55,66,17.6,20360,17625,3859,23,33.226326,-80.09877,Public,Rural,235
SCH233,School_233,1363,30,86,76,10.2,44030,1125,1185,46,27.025625,-68.90441,Public,Urban,416
SCH234,School_234,1248,21,82,68,17.7,6058,10793,2660,39,34.473695,-83.55011,Public,Suburban,426
SCH235,School_235,1559,21,71,81,15.8,25677,25766,4488,37,42.779451,-107.41492,Charter,Rural,499
SCH236,School_236,1302,23,70,63,20.6,15724,6764,4566,9,25.775192,-118.78347,Charter,Rural,462
SCH237,School_237,1245,29,55,76,7.1,33404,21485,2067,34,26.0045,-78.872392,Public,Rural,122
SCH238,School_238,1410,24,55,60,20.2,42946,12323,538,48,32.869282,-86.995196,Charter,Suburban,138
SCH239,School_239,1046,27,97,17,15.8,44748,13031,3044,31,47.543143,-122.157025,Private,Suburban,495
SCH240,School_240,1047,24,53,43,24.3,34856,14052,1756,6,40.714316,-103.757023,Charter,Urban,115
SCH241,School_241,1388,20,79,44,11.8,14200,12640,3490,20,40.966749,-68.548811,Charter,Suburban,420
SCH242,School_242,1539,30,60,87,17.7,38997,7843,2696,19,33.048,-95.476332,Public,Suburban,162
SCH243,School_243,1450,30,79,41,23.6,30611,14210,3968,25,38.84152,-99.468981,Charter,Rural,201
SCH244,School_244,1237,35,80,55,7.1,46235,16456,3208,3,24.25328,-97.995723,Charter,Suburban,234
SCH245,School_245,1540,25,73,25,23.7,40057,21856,801,45,39.902401,-112.675919,Charter,Rural,28
SCH246,School_246,1372,26,58,77,18.8,6239,10106,1146,21,46.832174,-103.246277,Charter,Rural,11
SCH247,School_247,1050,24,52,46,6.4,43138,5189,2259,14,39.314337,-103.181018,Private,Suburban,206
SCH248,School_248,1314,18,80,63,11.0,5125,2472,4851,39,45.842465,-121.911054,Public,Urban,167
SCH249,School_249,1197,20,89,23,19.2,28857,27622,1097,20,42.099326,-79.71351,Public,Urban,247
SCH250,School_250,1510,30,86,64,6.3,20398,17091,1161,14,27.01396,-100.426239,Private,Suburban,47
SCH251,School_251,1162,34,85,57,16.6,11638,18188,4830,21,46.561333,-76.491387,Charter,Urban,246
SCH252,School_252,1043,18,73,16,11.9,11570,6704,1868,27,25.661096,-74.829468,Private,Rural,127
SCH253,School_253,1245,23,80,83,17.4,8249,3713,3081,13,37.349187,-112.492351,Charter,Rural,147
SCH254,School_254,1523,23,55,16,5.9,14110,5051,4368,26,27.553428,-86.216145,Private,Suburban,118
SCH255,School_255,1471,29,51,42,22.4,45363,10756,4037,40,24.292665,-97.135374,Public,Urban,399
SCH256,School_256,901,30,69,32,24.5,18605,2475,4808,39,34.550857,-73.070752,Public,Urban,382
SCH257,School_257,1203,30,77,28,24.4,17115,3610,782,27,31.376018,-112.2713,Public,Rural,412
SCH258,School_258,1153,32,60,28,20.0,44062,4255,4178,25,36.150012,-85.009021,Charter,Suburban,152
SCH259,School_259,1551,33,53,45,7.6,27911,14484,1986,48,38.429997,-89.142625,Charter,Urban,72
